
building_colony_shelter|舰船改装庇护所
district_hive_foundry|铸造集群



district_hive_factory|工业集群



district_hive_research|科研集群



district_hive_research_physics|物理集群



district_hive_research_society|生物集群



district_hive_research_engineering|工程集群



district_hive_administrative|突触集群



district_hive_fortress|堡垒集群



district_hive_trade|物流集群



district_hive_food|农业集群



district_hive_mining|采矿集群



district_hive_energy|发电集群



district_hive_spawning|繁殖集群



区域代码


effect = {

add_zone = {

district = <区划key/区划槽位>

zone = <区域key>

zone_slot = <区域槽位>

replace = <yes/no>

}



effect = {

remove_zone - 将区域从行星的区划中删除

remove_zone = {

district = <区划key/区划槽位>

zone = <区域key>

zone_slot = <区域槽位>

all = <yes/no>

}



★【00_zones】区域特化



# 行星区划区域



zone_default|政府特区



zone_urban|城市扩张



zone_industrial|混合工业



zone_foundry|重工业



zone_factory|民用工业



zone_research_unity|档案馆



zone_research|科研聚落



zone_research_physics|物理学研究特化



zone_research_society|社会学研究特化



zone_research_engineering|工程学研究特化



zone_unity|行政中心



zone_unity_spiritualist|唯心聚落



zone_unity_bio_trophy|庇护聚居地



zone_fortress|行星防御工事



zone_trade|贸易枢纽



zone_resort|度假综合区



zone_resort_entertainment|娱乐大剧院



#有异种生物学科技

zone_resort_zoo|巨型动物园



#非亲外主义

zone_resort_hunting_ground|大狩猎公园



#仅唯心主义

zone_resort_spiritual_retreat|宁静圣所



zone_resort_grand_museum|记忆殿堂



zone_minerals|矿物提取



zone_betharian|贝塞里安处理



zone_energy|能源发电



zone_food|食物聚焦



zone_anglers|水产养殖



#蜂巢星球区域特化

zone_spawning|繁殖特区



#机械星球区域特化

zone_machine_replication|装配特区



zone_subterranean_urban|地底城区



zone_agrarian_urban|农业村庄



zone_cosmogenesis_default|政府特区



zone_food_biology|生物研究支援



zone_minerals_engineering|矿物研究支援



zone_energy_physics|能量研究支援



zone_urban_energy|发电支持



zone_urban_minerals|矿业支持



zone_urban_food|农业支持



★【01_habitat_zones】居住站区域特化



zone_habitat_knights|骑士团辖地



zone_habitat_hydroponics|太阳能耕种舱



zone_habitat_research|科研聚落



zone_habitat_research_unity|档案馆



★【02_special_zones】特殊区域特化



zone_payback_enlightenment|提升中心



zone_broken_shackles_memorial|挣脱桎梏纪念



★【03_wilderness_zones】生体荒野区域特化



# 行星区域区划



zone_urban_wilderness|林心



zone_foundry_wilderness|熔肠



zone_research_wilderness|思茎



zone_unity_wilderness|咏崖



zone_research_unity_wilderness|谐核



zone_trade_wilderness|须径



zone_fortress_wilderness|令苞



zone_minerals_wilderness|矿脊



zone_energy_wilderness|光肺



zone_food_wilderness|花锦



★【04_secondary_zones】次要区域特化



# 都市星球



zone_industrial_arcology|混合工业



zone_foundry_arcology|重工业



zone_factory_arcology|民用工业



zone_research_arcology|科研聚落



zone_research_physics_arcology|物理学研究特化



zone_research_society_arcology|社会学研究特化



zone_research_engineering_arcology|工程学研究特化



zone_unity_arcology|行政中心



zone_unity_spiritualist_arcology|唯心聚落



zone_unity_bio_trophy_arcology|庇护聚居地



zone_fortress_arcology|行星防御工事



zone_trade_arcology|贸易枢纽



# 环世界



zone_industrial_ring_world|混合工业



zone_foundry_ring_world|重工业



zone_factory_ring_world|民用工业



zone_research_ring_world|科研聚落



zone_research_physics_ring_world|物理学研究特化



zone_research_society_ring_world|社会学研究特化



zone_research_engineering_ring_world|工程学研究特化



zone_unity_ring_world|行政中心



zone_unity_spiritualist_ring_world|唯心聚落



zone_unity_bio_trophy_ring_world|庇护聚居地



zone_fortress_ring_world|行星防御工事



zone_trade_ring_world|贸易枢纽



zone_food_ring_world|食物聚焦



zone_energy_ring_world|能源发电



# 机械星球和纳米星球



zone_industrial_nexus|混合工业



zone_foundry_nexus|重工业



zone_factory_nexus|民用工业



zone_research_nexus|科研聚落



zone_research_physics_nexus|物理学研究特化



zone_research_society_nexus|社会学研究特化



zone_research_engineering_nexus|工程学研究特化



zone_unity_nexus|行政中心



zone_unity_spiritualist_nexus|唯心聚落



zone_unity_bio_trophy_nexus|庇护聚居地



zone_fortress_nexus|行星防御工事



zone_trade_nexus|贸易枢纽



zone_minerals_nexus|矿物提取



zone_energy_nexus|能源发电



# 蜂巢星球



zone_industrial_hive|混合工业



zone_foundry_hive|重工业



zone_factory_hive|民用工业



zone_research_hive|科研聚落



zone_research_physics_hive|物理学研究特化



zone_research_society_hive|社会学研究特化



zone_research_engineering_hive|工程学研究特化



zone_unity_hive|行政中心



zone_fortress_hive|行星防御工事



zone_trade_hive|贸易枢纽



zone_food_hive|食物聚焦



zone_minerals_hive|矿物提取



zone_energy_hive|能源发电



zone_spawning_hive|繁殖特区



